slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"isi-admission-test","ISI Admission Test","active","Entrance","Engineering | Science","M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/3eddd4a582ef68be4c7b6643.webp"
"jain-jet","JAIN Entrance Test","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/2c42facc1cf033c7569f2ac4.webp"
"jmiee","Jamia Millia Islamia University Entrance entrance examination","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/f9/f9c5a8de2e2f8aed36495df27a7ebd3d23d9c66d94000c2fdc7d4382d7c075b6.webp"
"jkpet","Jammu and Kashmir Polytechnic Entrance Test","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/07/073425a64165315ce12fdbb4cf94031e83fe4e7d0d59b45190914a27a1230115.webp"
"jipmer-pg","Jawaharlal Institute of Postgraduate Medical Education & Research (MD MS)","active","Entrance","Medical | Science | Education","B.E. / B.Tech | MD/MS","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/c6/c6b475278c654d8efcffa647464c0b222864fcebfbad93a1c3b66ee49e8ede11.webp"
"jawaharlal-nehru-university-combined-entrance-examination-for-biotechnology","Jawaharlal Nehru University Combined Entrance Examination for Biotechnology","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/7722150eeadc05d0350e831d.webp"
"jcece-agriculture","JCECE Agriculture & Allied","active","Entrance","Science | Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"wbjee-jeca","JECA","active","Entrance","Engineering | Science | IT and Software","B.E. / B.Tech | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jee-advanced","JEE Advanced","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b5a3ce3b78d5276f323522b7.webp"
"jee-mains","JEE Main","active","Entrance","Engineering | Architecture","B.E. / B.Tech | B.Arch","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"jeecup","JEECUP","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/cd2c14c6f2736af0b2038279.webp"
"wbjee-jelet","JELET","active","Entrance","Engineering | Medical | Pharmacy | Architecture","B.E. / B.Tech | B.Sc. | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jemas-pg","JEMAS(PG)","active","Entrance","Medical","MD/MS","PG","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jemscn","JEMScN","active","Entrance","Nursing | Science","M.Sc. | Nursing","PG","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jenpas-ug","JENPAS UG","active","Entrance","Medical | Nursing | Science","Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jepbn","JEPBN","active","Entrance","Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"jest","JEST","active","Entrance","Science | IT and Software","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/da83265677e132848a8650e3.webp"
"jharkhand-bed-entrance","Jharkhand B.Ed Entrance","active","Entrance","Education","B.Ed | M.Ed","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jharkhand-bped-entrance","Jharkhand B.P.Ed Entrance","active","Entrance","Education","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jcece","Jharkhand Combined Entrance Competitive Examination","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jharkhand-diploma-le","Jharkhand Diploma Lateral Entry","active","Entrance","Engineering","Diploma/Polytechnic","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jharkhand-engineering-le","Jharkhand Engineering Lateral Entry","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jharkhand-med-entrance","Jharkhand M.Ed Entrance","active","Entrance","Education","B.Ed | M.Ed","PG","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jharkhand-pece","Jharkhand PECE","active","Entrance","Engineering","Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"jipmat","JIPMAT","active","Entrance","Management","MBA/PGDM","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"jkcet","JKCET","active","Entrance","Engineering | Science","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/8d665f84d7d9a1fa9744acc7.webp"
"jmi-ba-llb","JMI B.A. LL.B. Entrance","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3e3988765d21f67b15999317.webp"
"jmi-bed","JMI B.Ed Entrance","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3e3988765d21f67b15999317.webp"
"jmi-mba","JMI MBA Entrance","active","Entrance","Management","MBA/PGDM","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3e3988765d21f67b15999317.webp"
"jmi-mca","JMI MCA Entrance","active","Entrance","Science | IT and Software","MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3e3988765d21f67b15999317.webp"
"joint-admission-test-for-masters","Joint Admission Test for Masters","active","Entrance","Science","M.Sc.","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/71/71ebd95df6ee76ae6db4c6f3ab69f1c9e89067d6775250659ca8fd24fd6ee035.webp"
"csir-ugc-net-june-2026","Joint CSIR-UGC NET June 2026","active","Entrance","Science","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"jexpo","Joint Entrance Exam for Polytechnics","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/a8d4a144026c67e886db2a7c.webp"
"jee-mains-2","Joint Entrance Examination (Mains) - Session 2","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/80/80f5c6347d7794221f803a436d8fa1699ca04017928282e284dcb819c5340f83.webp"
"wb-jemat","Joint Entrance Management Aptitude Test","active","Entrance","Management","MBA/PGDM","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/c9/c9ee018dec7fa9ba6c1dfef265c04ad0a28f13521b15c1520544bc82f002b552.webp"
"jset","Joint Entrance Screening Test","active","Entrance","Science | IT and Software","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/da83265677e132848a8650e3.webp"
"joint-integrated-programme-in-management-admission-test","Joint Integrated Programme in Management Admission Test","active","Entrance","Management","MBA/PGDM","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"jpsc-combined-civil-services","JPSC Combined Civil Services","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","unresolved",""
"kalinga-institute-of-industrial-technology-entrance-exam","Kalinga Institute of Industrial Technology Entrance Exam","active","Entrance","Engineering | Medical","B.E. / B.Tech | MBBS","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/f7/f74193858641247900e3a3879e9ee63c526714903f3e374e744b759304e1081a.webp"
"karnataka-dcet","Karnataka DCET","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/6c147de399c18b27191d67bd.webp"
"kmat","Karnataka Management Aptitude Test","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/20200f0837fbdedb999b97a4.webp"
"karnataka-pgcet","Karnataka PGCET","active","Entrance","Engineering | Management | IT and Software","M.E./M.Tech | MBA/PGDM | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/6c147de399c18b27191d67bd.webp"
"karnataka-state-eligibility-test","Karnataka State Eligibility Test","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/6c147de399c18b27191d67bd.webp"
"kcet","KCET","active","Entrance","Engineering | Medical | Pharmacy | Science | Arts","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6c147de399c18b27191d67bd.webp"
