slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"sebi-grade-a","SEBI Grade A","active","Sarkari","Engineering | Law | Science | Arts | Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63415fc9c0862e6d1ca3300e.webp"
"seed","SEED","active","Entrance","Design","B.Des","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0a0157b78b43b1638a4376f4.webp"
"set","SET","active","Entrance","Management","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/af5e6547f049324cb14a1ff5.webp"
"smit-online-test","Sikkim Manipal Institute of Technology Online Test","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/85/85261db95bef0fb271e4213a63c80681b50f3ecdaba4f9d0bde670ba2ae4dee1.webp"
"saat","Siksha 'O' Anusandhan Admission Test","active","Entrance","Medical","MBBS | Diploma/Polytechnic","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/91/91e152c390f03ea135bf3e122b2457d294cc250acb04c081b846507da674d17e.webp"
"siteee","SITEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/af5e6547f049324cb14a1ff5.webp"
"skuast-j-cet","SKUAST Jammu CET","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/94634f871320129fb20f834e.webp"
"skuast-k-uet","SKUAST Kashmir UET","active","Entrance","Agriculture","Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7a9474b0244dd24066d2d1ad.webp"
"slat","SLAT","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6f75a363e945f67a083df7d6.webp"
"snap","SNAP","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/e93c6e8a771dd700e17c1176.webp"
"sri-venkateswara-university-common-entrance-test","Sri Venkateswara University Common Entrance Test","active","Entrance","General","M.Sc.","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/cc/cc73b8b5b55362bfe24c69a04e1ef1f67aa90d40344b1a35365e82413131487a.webp"
"spmhcat","SRM University Haryana Common Aptitude Test","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/cc6a9d8f6506cb3a9f81b284.webp"
"srmjeee","SRMJEEE UG","active","Entrance","Engineering | Science","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/225848626a4b45fb2fbdda49.webp"
"srmjeem","SRMJEEM","active","Entrance","Management | Science","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/225848626a4b45fb2fbdda49.webp"
"ssc-cgl","SSC CGL","active","Sarkari","IT and Software | Government","Government Recruitment","UG","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-chsl","SSC CHSL","active","Sarkari","Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-jht","SSC Combined Hindi Translators","active","Sarkari","Arts | Government","Government Recruitment","PG","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-cpo","SSC CPO","active","Sarkari","Medical | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-gd-constable","SSC GD Constable","active","Sarkari","Medical | Defence | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-je","SSC JE","active","Sarkari","Engineering | Government","B.E. / B.Tech | Diploma/Polytechnic | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-mts","SSC MTS & Havaldar","active","Sarkari","Government","Government Recruitment","10th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-selection-post-phase-14","SSC Selection Post Phase XIV","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"ssc-stenographer","SSC Stenographer","active","Sarkari","Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/1a955776af0eb7bd07d56b47.webp"
"suat","SUAT","active","Entrance","Engineering | Law | Management | Design | Science","B.E. / B.Tech | LL.B.","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/f48107dd295e5732ed687d1e.webp"
"tancet","TANCET","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/ba534cd54a4aeb457bcee736.webp"
"telangana-state-agriculture-common-entrance-test","Telangana State Agriculture Common Entrance Test","active","Entrance","Agriculture","Diploma/Polytechnic | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/21dc29c965e8bd7f4a9acc75.webp"
"ts-cpget","Telangana State Common Post Graduate Entrance Tests","active","Entrance","General","Multiple Courses","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/01/01eed61e879f47f4df9400fdb720e5b4205fb06f156254e4fdb697177ee7ceeb.webp"
"ts-eamcet","Telangana State Engineering Agriculture and Medical Common Entrance Test","active","Entrance","Engineering | Medical | Pharmacy | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"telangana-state-engineering-common-entrance-test","Telangana State Engineering Common Entrance Test","active","Entrance","Engineering | Medical | Pharmacy | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/7b/7bb78d45a88497815d2e114e88a75d9b92d05798c0fc2b34d5d76ca00447a701.webp"
"ts-icet","Telangana State Integrated Common Entrance Test","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/09/09776418e4dbaf060d581d265fec0ebe3a440b5f84315ed35319a2c756e9711d.webp"
"ts-law-cet","Telangana State Law Common Entrance Test","active","Entrance","Law","LL.B.","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/7e/7e7ce25f4cb4abb5edc28bd9efba0a78db313a9a97ebba7b3f05e31e5f263e5d.webp"
"telangana-state-polytechnic-common-entrance-test","Telangana State Polytechnic Common Entrance Test","active","Entrance","Engineering | Education","B.E. / B.Tech | Diploma/Polytechnic","10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/b3/b36191799891596d914dba9f1b45d56176bc9f9464b3bfdd66d0fa4ca3099397.webp"
"tg-cpget","TG CPGET","active","Entrance","General","Diploma/Polytechnic","PG","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-deecet","TG DEECET","active","Entrance","Education","D.El.Ed | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/054320df2a99b50e9ed162ca.webp"
"tg-eapcet","TG EAPCET","active","Entrance","Engineering | Medical | Pharmacy | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-ecet","TG ECET","active","Entrance","Engineering | Medical | Pharmacy | Science","B.E. / B.Tech | B.Sc. | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-edcet","TG EDCET","active","Entrance","Education","B.Ed","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-icet","TG ICET","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-lawcet","TG LAWCET","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4e4f2de119204fa192d49272.webp"
"tg-pecet","TG PECET","active","Entrance","Education","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-pgecet","TG PGECET","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech | M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-pglcet","TG PGLCET","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbcff9e5e9ecdad30f77638.webp"
"tg-polycet","TG POLYCET","active","Entrance","Engineering | Agriculture","B.E. / B.Tech | Diploma/Polytechnic | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/68fb0f51dd5d28f9834c54da.webp"
"tifr-gs","TIFR GS","active","Entrance","Science","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/5c83533028db5b5d68b193c0.webp"
"tjee","TJEE","active","Entrance","Engineering | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9cedb888b884e2ced233d872.webp"
"tn-set","TN SET","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/cad8c1094786a788fa607b52.webp"
"tripura-jee","Tripura Board of Joint Entrance Examination","active","Entrance","Engineering | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9cedb888b884e2ced233d872.webp"
"ts-set","TS SET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/4b383808c61aca94cfc7006b.webp"
"tspsc-group-1","TSPSC Group I","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/b3f8eab2cc7b68914852de45.webp"
"uceed","UCEED","active","Entrance","Design","B.Des","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9f454a73d02b9777482daf5a.webp"
"ugc-net","UGC NET","active","Entrance","Science","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"ugc-net-june-2026","UGC NET June 2026","active","Entrance","Science","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"uid-dat","UID DAT","active","Entrance","Design","M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/ef246edab80f05a163c16bc2.webp"
"ukpsc-pcs","UKPSC PCS","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/12e96f3eb8359c3ea9a3412e.webp"
"ulsat","ULSAT","active","Entrance","Law","LL.B.","10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"uni-gauge","Uni-GAUGE","active","Entrance","Engineering | Science","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/8748e71cfbb567c32db2ea9f.webp"
"university-of-petroleum-and-energy-studies-engineering-aptitude-test","University of Petroleum & Energy Studies Engineering Aptitude Test","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"up-bed-jee","UP B.Ed JEE","active","Entrance","Engineering | Education","B.E. / B.Tech | B.Ed","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6e32c7669772c58925b9fbc4.webp"
"upcatet","UPCATET","active","Entrance","Agriculture","Ph.D. | Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0e5ef90a054449519d456bb0.webp"
"upes-dat","UPES Design Aptitude Test","active","Entrance","Design","B.Des | M.Des","UG | PG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"upes-met","UPES Management Entrance Test","active","Entrance","Management","MBA/PGDM","UG | PG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"upeseat","UPESEAT","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"upesmet","UPESMET","active","Entrance","Management","MBA/PGDM","UG | PG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9cb70a1af271ab738a8f7bd8.webp"
"uppsc-pcs","UPPSC PCS","active","Sarkari","Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/920e35abe9d840e72bb78554.webp"
"upsc-capf-ac","UPSC CAPF (AC)","active","Sarkari","Medical | Defence | Government","Government Recruitment","UG","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-cds","UPSC CDS","active","Sarkari","Defence | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-civil-services","UPSC Civil Services Examination","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-cms","UPSC CMS","active","Sarkari","Medical | Government","MBBS | Government Recruitment","UG","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-combined-geo-scientist","UPSC Combined Geo-Scientist","active","Sarkari","Government","Government Recruitment","PG","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-ese","UPSC Engineering Services Exam","active","Sarkari","Engineering | Medical | Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-engineering-services","UPSC Engineering Services Examination","active","Sarkari","Engineering | Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-epfo","UPSC EPFO","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-ies-iss","UPSC IES/ISS","active","Sarkari","Government","Government Recruitment","PG","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-ifs","UPSC Indian Forest Service","active","Sarkari","Medical | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-indian-forest-service","UPSC Indian Forest Service Examination","active","Sarkari","Engineering | Science | Agriculture | Government","B.E. / B.Tech | Agriculture | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"upsc-nda-na","UPSC NDA & NA Examination","active","Sarkari","Aviation | Defence | Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"uratpg","URATPG","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/f1bff05a145ae3eb3eddd7bc.webp"
"uttar-pradesh-combined-agriculture-and-technology-entrance-test","Uttar Pradesh Combined Agriculture and Technology Entrance Test","active","Entrance","Science | Agriculture","Ph.D. | Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0e5ef90a054449519d456bb0.webp"
"uttarakhand-jeep","Uttarakhand Joint Entrance Examination Polytechnics","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/9457655a1870eeefbfadae23.webp"
"vtueee","Vel Tech Undergraduate Engineering Entrance Examination","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b1d86fa8cb81583802a55829.webp"
"vitmee","Vellore Institute of Technology Masters Entrance Examination","active","Entrance","Engineering","B.E. / B.Tech | M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitbee","VIT Business School Entrance Exam","active","Entrance","Management","MBA/PGDM","UG | PG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"viteee","VITEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitmee-mdes","VITMEE M.Des","active","Entrance","Design","M.Des","PG","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitmee-msc","VITMEE M.Sc.","active","Entrance","Science","M.Sc.","PG","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitmee-mtech","VITMEE M.Tech","active","Entrance","Engineering","B.E. / B.Tech | M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitmee-mca","VITMEE MCA","active","Entrance","Science | IT and Software","MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vitree","VITREE","active","Entrance","Science","Ph.D.","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/016b47ced32722042938bc0f.webp"
"vmou-met","VMOU Management Entrance Test","active","Entrance","Management","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/9b80b7f7eab4eaf104dd6cbc.webp"
"vocational-lateral-entry-test","Vocational Lateral Entry Test","active","Entrance","Engineering","Diploma/Polytechnic","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/a8d4a144026c67e886db2a7c.webp"
"vsat","VSAT","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/5fd82254600a0893c52834b8.webp"
"wb-anm-gnm","WB ANM & GNM","active","Entrance","Medical | Nursing | Science","Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"wb-set","WB SET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/96a8cd419d5f1f7392a773ea.webp"
"wbcs","WBCS","active","Sarkari","Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","unresolved",""
"wbjee","WBJEE","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"wb-anm-and-gnm","West Bengal (Auxiliary Nursing and Midwifery) & (General Nursing and Midwifery)","active","Entrance","Nursing | Arts | Education","Nursing","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"west-bengal-joint-entrance-exam-for-computer-application","West Bengal Joint Entrance Exam for Computer Application","active","Entrance","Management | Science | IT and Software","MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"west-bengal-joint-entrance-exam-for-post-basic-nursing","West Bengal Joint Entrance Exam for Post Basic Nursing","active","Entrance","Medical | Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"wb-jehom","West Bengal Joint Entrance for Hospitality Management","active","Entrance","Management | Hotel Management","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"west-bengal-joint-entrance-for-mater-of-science-nursing","West Bengal Joint Entrance for Mater of Science Nursing","active","Entrance","Medical | Nursing | Science","B.Sc. | M.Sc. | Nursing","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"wb-jelet","West Bengal Joint Entrance Lateral Engineering Test","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech | B.Sc. | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"xat","XAT","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/e362111f676ac0bc28b7e7ce.webp"
"xgmt","Xavier General Management Aptitude Test","active","Entrance","Management","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/dbfa1aa6eb27d3128d6656b5.webp"
"xic-oet","Xavier Institute of Communications' Online Entrance Test","active","Entrance","Management | Arts","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/0e208c1c3599d27133fd4042.webp"
